Entity,Code,Day,people_vaccinated
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,8200
Afghanistan,AFG,2021-03-16,54000
Afghanistan,AFG,2021-04-07,120000
Afghanistan,AFG,2021-04-22,240000
Afghanistan,AFG,2021-05-11,448878
Afghanistan,AFG,2021-05-20,470341
Africa,,2021-01-09,0
Africa,,2021-01-13,2000
Africa,,2021-01-15,4000
Africa,,2021-01-16,7000
Africa,,2021-01-19,10976
Africa,,2021-01-20,13163
Africa,,2021-01-22,16890
Africa,,2021-01-23,18353
Africa,,2021-01-24,18353
Africa,,2021-01-25,19889
Africa,,2021-01-26,22712
Africa,,2021-01-27,25587
Africa,,2021-01-28,28779
Africa,,2021-01-29,30861
Africa,,2021-01-30,32176
Africa,,2021-01-31,32176
Africa,,2021-02-01,36601
Africa,,2021-02-02,37806
Africa,,2021-02-03,38716
Africa,,2021-02-04,38716
Africa,,2021-02-05,38716
Africa,,2021-02-06,39218
Africa,,2021-02-08,39343
Africa,,2021-02-09,39352
Africa,,2021-02-10,39355
Africa,,2021-02-11,39581
Africa,,2021-02-12,39581
Africa,,2021-02-13,43428
Africa,,2021-02-15,43437
Africa,,2021-02-16,43444
Africa,,2021-02-17,47104
Africa,,2021-02-18,50146
Africa,,2021-02-19,2412533
Africa,,2021-02-20,2506856
Africa,,2021-02-21,2512346
Africa,,2021-02-22,2625632
Africa,,2021-02-23,2724750
Africa,,2021-02-24,3017856
Africa,,2021-02-25,3292724
Africa,,2021-02-26,3482568
Africa,,2021-02-27,3605812
Africa,,2021-02-28,3613539
Africa,,2021-03-01,3759638
Africa,,2021-03-02,3859686
Africa,,2021-03-03,3963877
Africa,,2021-03-04,4057507
Africa,,2021-03-05,4208668
Africa,,2021-03-06,4334635
Africa,,2021-03-07,4375336
Africa,,2021-03-08,4649256
Africa,,2021-03-09,4723917
Africa,,2021-03-10,4926631
Africa,,2021-03-11,4997092
Africa,,2021-03-12,5054231
Africa,,2021-03-13,5211100
Africa,,2021-03-14,5227623
Africa,,2021-03-15,5324518
Africa,,2021-03-16,5365673
Africa,,2021-03-17,5412287
Africa,,2021-03-18,5599476
Africa,,2021-03-19,5671305
Africa,,2021-03-20,5692632
Africa,,2021-03-21,5714180
Africa,,2021-03-22,5742779
Africa,,2021-03-23,5816994
Africa,,2021-03-24,6497947
Africa,,2021-03-25,6557623
Africa,,2021-03-26,6663052
Africa,,2021-03-27,6886943
Africa,,2021-03-28,7143129
Africa,,2021-03-29,7229895
Africa,,2021-03-30,7311247
Africa,,2021-03-31,7668733
Africa,,2021-04-01,7825046
Africa,,2021-04-02,7902029
Africa,,2021-04-03,7985573
Africa,,2021-04-04,8055695
Africa,,2021-04-05,8150843
Africa,,2021-04-06,8446072
Africa,,2021-04-07,8764091
Africa,,2021-04-08,9464710
